food_id,name,category,kcal_per_100g,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,iron_mg,calcium_mg,vitamin_c_mg,density_g_per_ml
1,cooked white rice,grain,130,2.7,0.3,28.2,0.4,0.1,1,0.2,10,0,0.90
2,cooked brown rice,grain,123,2.6,1.0,25.6,1.8,0.2,4,0.4,10,0,0.85
3,roti (whole wheat flatbread),grain,297,11.0,3.7,55.7,10.7,0.4,300,3.0,20,0,1.05
4,naan,grain,310,9.1,7.4,50.0,2.2,3.5,500,2.5,90,0,0.70
5,cooked dal (lentil curry),legume,116,7.6,1.5,19.0,3.5,1.2,300,2.0,25,2.0,1.00
6,paneer,dairy,265,18.3,20.8,3.4,0,3.4,20,0.2,208,0,1.10
7,grilled chicken breast,meat,165,31.0,3.6,0,0,0,74,0.9,15,0,1.00
8,chicken curry,meat,180,15.0,10.5,6.0,1.0,2.0,450,1.2,30,3.0,1.00
9,mixed vegetable curry,vegetable,95,3.0,4.5,11.0,3.0,4.0,350,1.0,40,20.0,0.98
10,scrambled eggs,egg,148,10.0,10.9,1.6,0,0.8,207,1.5,55,0,0.95
11,boiled egg,egg,155,13.0,11.0,1.1,0,1.1,124,1.2,50,0,1.03
12,mashed potato,vegetable,113,2.0,4.2,17.0,1.5,1.3,300,0.4,20,7.0,1.00
13,french fries,vegetable,312,3.4,15.0,41.0,3.8,0.3,210,0.7,15,10.0,0.55
14,mixed green salad,vegetable,20,1.5,0.2,4.0,1.8,1.5,15,0.7,30,25.0,0.30
15,idli,grain,132,4.0,0.4,27.4,1.5,0.3,220,0.7,15,0,0.75
16,dosa (plain),grain,168,3.9,3.7,29.0,1.5,0.5,200,0.9,10,0,0.65
17,sambar,legume,90,4.5,2.0,13.0,3.0,3.0,400,1.2,30,5.0,0.98
18,curd/yogurt (plain),dairy,60,3.5,3.3,4.7,0,4.7,36,0.1,120,1.0,1.03
19,banana,fruit,89,1.1,0.3,22.8,2.6,12.2,1,0.3,5,8.7,0.94
20,apple,fruit,52,0.3,0.2,13.8,2.4,10.4,1,0.1,6,4.6,0.85
21,boiled/steamed mixed vegetables,vegetable,65,2.5,0.5,12.0,3.5,4.0,50,0.9,35,30.0,0.95
22,biryani (chicken),grain,180,9.0,6.5,22.0,1.2,1.0,420,1.1,25,2.0,0.92
23,paratha (plain),grain,326,6.4,12.5,49.0,3.5,1.0,400,2.3,25,0,0.90
24,omelette,egg,154,10.6,11.7,0.6,0,0.6,210,1.4,45,0,0.92
25,fish curry,meat,140,17.0,6.5,3.0,0.5,1.0,380,1.0,20,2.0,1.00
26,grilled fish,meat,150,22.0,6.0,0,0,0,90,0.8,15,0,1.00
27,soup (vegetable broth-based),vegetable,35,1.5,1.0,5.0,1.0,2.0,400,0.5,15,10.0,1.00
28,pasta (plain and cooked),grain,158,5.8,0.9,31.0,1.8,1.1,6,1.3,10,0,0.85
29,bread slice (white),grain,265,9.0,3.2,49.0,2.7,5.0,490,3.6,150,0,0.28
30,peanut butter,legume,588,25.0,50.0,20.0,6.0,9.0,17,1.9,49,0,1.09
